accuracy,precision,recall,f1,fpr,fnr,model,split,n_train,n_test,test_attack_rate,attack,asr,family,epsilon,iters,confidence,seed
0.0113414866322765,0.0077665510481073,0.0117655121995796,0.009356661397867,0.988937487787648,0.9882344878004204,LR,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it25,0.6654034795064504,PGD,0.75,25.0,,99
0.0273700624643028,0.0082535848121651,0.012176733985196,0.0098384863867097,0.9626339601088214,0.987823266014804,SVM,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it25,0.6653309520139978,PGD,0.75,25.0,,99
0.59280345956139,0.0545596258768511,0.0015991958329525,0.0031073132837642,0.0182321023282379,0.9984008041670476,RF,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it25,0.1309393216866268,PGD,0.75,25.0,,99
0.0114230800612857,0.0094102791515716,0.0143013798775472,0.0113513758556598,0.9904706076866424,0.9856986201224528,MLP,temporal,441209,110303,0.3968341749544437,PGD_eps0.75_it25,0.9869087876123044,PGD,0.75,25.0,,99
0.2691676563647407,0.060967180684987,0.0584391848670382,0.0596764222141865,0.5921901068674753,0.9415608151329616,LR,temporal,441209,110303,0.3968341749544437,CW_c0.0_it10,0.405764122462671,CW,,10.0,0.0,99
0.0859450785563402,0.0256738555679342,0.0352736909439824,0.0297177392191394,0.8807172596233335,0.9647263090560176,SVM,temporal,441209,110303,0.3968341749544437,CW_c0.0_it10,0.606338902840358,CW,,10.0,0.0,99
0.610400442417704,0.5458620689655173,0.1084940144384538,0.1810108248208568,0.0593858502051675,0.8915059855615461,RF,temporal,441209,110303,0.3968341749544437,CW_c0.0_it10,0.1132970091475299,CW,,10.0,0.0,99
0.0093560465263864,0.0118790335802542,0.0182079868409028,0.014377846930952,0.9964678119974149,0.9817920131590973,MLP,temporal,441209,110303,0.3968341749544437,CW_c0.0_it10,0.9904082391231426,CW,,10.0,0.0,99
0.2738910093107168,0.062346363329638,0.0591017088549757,0.060680693359604,0.5847950579429139,0.9408982911450242,LR,temporal,441209,110303,0.3968341749544437,CW_c0.5_it10,0.4018567038067868,CW,,10.0,0.5,99
0.0787467249304189,0.0226758866535738,0.0313899296353833,0.0263306664111531,0.8900963460642407,0.9686100703646168,SVM,temporal,441209,110303,0.3968341749544437,CW_c0.5_it10,0.6136279158318451,CW,,10.0,0.5,99
0.6000834066163205,0.4764477694652258,0.0785662067074842,0.1348891939595999,0.05680058919902,0.9214337932925156,RF,temporal,441209,110303,0.3968341749544437,CW_c0.5_it10,0.1235868471392437,CW,,10.0,0.5,99
0.0079689582332302,0.0110958863304637,0.0170200127935666,0.013433831617289,0.9979859013091642,0.9829799872064332,MLP,temporal,441209,110303,0.3968341749544437,CW_c0.5_it10,0.9918225252259684,CW,,10.0,0.5,99
